lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
ICCL_BC,1,IDS,IDS1,1,14.049,18.016,noerror,NA,
ICCL_BC,1,ADS,ADS1,2,14.281,18.016,noerror,NA,
ICCL_BC,1,IDS,IDS2,3,13.379,18.016,noerror,NA,
ICCL_BC,1,ADS,ADS2,4,13.161,18.1,noerror,NA,
ICCL_BC,1,ADS,ADS3,5,11.846,18.016,noerror,NA,
ICCL_BC,1,IDS,IDS3,6,7.999,11.55,noerror,NA,
ICCL_BC,1,IDS,IDS4,7,10.914,16.6,noerror,NA,
ICCL_BC,1,ADS,ADS4,8,11.231,15.883,noerror,NA,
ICCL_BC,1,ADS,ADS5,9,15.68,18.016,noerror,NA,
ICCL_BC,1,IDS,IDS5,10,5.965,10.633,noerror,NA,
ICCL_BC,1,ADS,ADS6,11,2.533,4.666,noerror,NA,
ICCL_BC,1,IDS,IDS6,12,4.866,6.983,noerror,NA,
ICCL_BC,1,IDS,IDS7,13,4.349,6.883,noerror,NA,
ICCL_BC,1,ADS,ADS7,14,10.413,18.016,noerror,NA,
ICCL_BC,1,ADS,ADS8,15,5.449,8.9,noerror,NA,
ICCL_BC,1,IDS,IDS8,16,12.063,18.016,noerror,NA,
ICCL_BC,4,ADS,ADS5,1,13.982,16.816,noerror,NA,
ICCL_BC,4,IDS,IDS5,2,5.766,7.883,noerror,NA,
ICCL-BC,4,IDS,IDS7,3,11.35,14.466,noerror,NA,
ICCL-BC,4,ADS,ADS7,4,4.55,6.666,noerror,NA,
ICCL-BC,4,IDS,IDS1,5,4.55,6.683,noerror,NA,
ICCL-BC,4,ADS,ADS1,6,4.45,6.566,noerror,NA,
ICCL-BC,4,IDS,IDS3,7,3.133,5.25,noerror,NA,
ICCL-BC,4,ADS,ADS3,8,3.65,5.783,noerror,NA,
ICCL-BC,4,IDS,IDS2,9,3.133,5.25,noerror,NA,
ICCL-BC,4,ADS,ADS2,10,3.866,6.783,noerror,NA,
ICCL-BC,4,ADS,ADS4,11,1.433,3.55,noerror,NA,
ICCL-BC,4,IDS,IDS4,12,1.616,3.733,noerror,NA,
ICCL-BC,4,ADS,ADS6,13,1.716,3.833,noerror,NA,
