subid,trial_type,stimulus,trial_num,looking_time,unquenum
5,Training,train1,-2,16.083,1
5,Training,train2,-1,16.883,2
5,IDS,IDS1,1,18,3
5,ADS,ADS1,2,14.766,4
5,IDS,IDS2,3,10.432,5
5,ADS,ADS2,4,15.681,6
5,ADS,ADS3,5,16.381,7
5,IDS,IDS3,6,8.383,8
5,IDS,IDS4,7,16.981,9
5,ADS,ADS4,8,11.931,10
5,ADS,ADS5,9,4.449,11
5,IDS,IDS5,10,8.299,12
5,ADS,ADS6,11,3.349,13
5,IDS,IDS6,12,2.633,14
5,IDS,IDS7,13,3.95,15
5,ADS,ADS7,14,6.382,16
5,ADS,ADS8,15,3.333,17
5,IDS,IDS8,16,12.348,18
12,Training,train1,-2,16.116,19
12,Training,train2,-1,16.315,20
12,ADS,ADS5,1,15.815,21
12,IDS,IDS5,2,15.882,22
12,IDS,IDS7,3,35.332,23
12,ADS,ADS7,4,14.782,24
12,IDS,IDS1,5,14.283,25
12,ADS,ADS1,6,3.966,26
12,IDS,IDS3,7,16.549,27
12,ADS,ADS3,8,17.114,28
12,IDS,IDS2,9,6.583,29
12,ADS,ADS2,10,8.898,30
12,ADS,ADS4,11,9.832,31
12,IDS,IDS4,12,17.649,32
12,ADS,ADS6,13,16.498,33
12,IDS,IDS6,14,7.181,34
12,ADS,ADS8,15,3.65,35
12,IDS,IDS8,16,24.399,36
25,Training,train1,-2,11.03,37
25,Training,train2,-1,9.609,38
25,ADS,ADS1,1,13.744,39
25,IDS,IDS1,2,16.303,40
25,ADS,ADS2,3,7.191,41
25,IDS,IDS2,4,14.245,42
25,IDS,IDS3,5,8.019,43
25,ADS,ADS3,6,10.343,44
25,ADS,ADS4,7,2.324,45
25,IDS,IDS4,8,8.643,46
25,IDS,IDS5,9,6.427,47
25,ADS,ADS5,10,13.76,48
25,IDS,IDS6,11,11.918,49
25,ADS,ADS6,12,13.821,50
25,ADS,ADS7,13,5.586,51
25,IDS,IDS7,14,11.404,52
25,IDS,IDS8,15,3.713,53
25,ADS,ADS8,16,13.666,54
33,Training,train1,-2,15.304,55
33,Training,train2,-1,11.248,56
33,ADS,ADS1,1,13.636,57
33,IDS,IDS1,2,14.461,58
33,ADS,ADS2,3,9.408,59
33,IDS,IDS2,4,17.566,60
33,IDS,IDS3,5,14.462,61
33,ADS,ADS3,6,9.188,62
33,ADS,ADS4,7,5.288,63
33,IDS,IDS4,8,16.068,64
33,IDS,IDS5,9,2.465,65
33,ADS,ADS5,10,5.429,66
33,IDS,IDS6,11,2.886,67
33,ADS,ADS6,12,5.258,68
33,ADS,ADS7,13,15.912,69
33,IDS,IDS7,14,16.458,70
33,IDS,IDS8,15,5.647,71
33,ADS,ADS8,16,8.767,72
