subid,trial_type,stimulus,trial_num,looking_time_ns,looking_time_org,unquenum,looking_time_dk
5,Training,train1,-2,15.05,16.083,1,19.33
5,Training,train2,-1,16.92,16.883,2,17.9
5,IDS,IDS1,1,16,18,3,19.29
5,ADS,ADS1,2,14.53,14.766,4,14.44
5,IDS,IDS2,3,12.43,10.432,5,12.1
5,ADS,ADS2,4,14.54,15.681,6,17.49
5,ADS,ADS3,5,15.89,16.381,7,17.45
5,IDS,IDS3,6,8.3,8.383,8,8.23
5,IDS,IDS4,7,16.5,16.981,9,16.49
5,ADS,ADS4,8,11.52,11.931,10,13.84
5,ADS,ADS5,9,4.45,4.449,11,5.36
5,IDS,IDS5,10,8.45,8.299,12,8.24
5,ADS,ADS6,11,3.45,3.349,13,2.5
5,IDS,IDS6,12,2.45,2.633,14,2.16
5,IDS,IDS7,13,3.97,3.95,15,3.86
5,ADS,ADS7,14,6.45,6.382,16,6.34
5,ADS,ADS8,15,3.45,3.333,17,3.01
5,IDS,IDS8,16,12.54,12.348,18,14.89
12,Training,train1,-2,16.25,16.116,19,16.22
12,Training,train2,-1,16.33,16.315,20,17.06
12,ADS,ADS5,1,14.75,15.815,21,16.6
12,IDS,IDS5,2,15.52,15.882,22,15.95
12,IDS,IDS7,3,30.03,35.332,23,18.48
12,ADS,ADS7,4,10.75,14.782,24,15.57
12,IDS,IDS1,5,15.9,14.283,25,15.7
12,ADS,ADS1,6,3.56,3.966,26,4.14
12,IDS,IDS3,7,17.85,16.549,27,17.26
12,ADS,ADS3,8,15.56,17.114,28,14.86
12,IDS,IDS2,9,5.89,6.583,29,6.55
12,ADS,ADS2,10,8.56,8.898,30,9.54
12,ADS,ADS4,11,9.09,9.832,31,11.17
12,IDS,IDS4,12,16.58,17.649,32,14.76
12,ADS,ADS6,13,15.54,16.498,33,17.72
12,IDS,IDS6,14,7.01,7.181,34,7.34
12,ADS,ADS8,15,3.55,3.65,35,3.99
12,IDS,IDS8,16,23.69,24.399,36,17.24
25,Training,train1,-2,11.02,11.03,37,9.9
25,Training,train2,-1,9.56,9.609,38,8.45
25,ADS,ADS1,1,13.02,13.744,39,11.89
25,IDS,IDS1,2,14.59,16.303,40,7.86
25,ADS,ADS2,3,7.07,7.191,41,5.57
25,IDS,IDS2,4,13.56,14.245,42,12.94
25,IDS,IDS3,5,7.5,8.019,43,7.4
25,ADS,ADS3,6,10.01,10.343,44,7.25
25,ADS,ADS4,7,2.15,2.324,45,1.98
25,IDS,IDS4,8,8.56,8.643,46,6.01
25,IDS,IDS5,9,6.88,6.427,47,4.71
25,ADS,ADS5,10,14.42,13.76,48,11.13
25,IDS,IDS6,11,10.74,11.918,49,10.16
25,ADS,ADS6,12,12.54,13.821,50,13.02
25,ADS,ADS7,13,5.65,5.586,51,5.27
25,IDS,IDS7,14,9.06,11.404,52,7.92
25,IDS,IDS8,15,3.5,3.713,53,2.68
25,ADS,ADS8,16,12.12,13.666,54,10.65
33,Training,train1,-2,13.12,15.304,55,14.08
33,Training,train2,-1,11.02,11.248,56,8.12
33,ADS,ADS1,1,12.31,13.636,57,12.69
33,IDS,IDS1,2,13.33,14.461,58,13.15
33,ADS,ADS2,3,9.35,9.408,59,8.06
33,IDS,IDS2,4,16.57,17.566,60,13.93
33,IDS,IDS3,5,13.25,14.462,61,14.32
33,ADS,ADS3,6,9.05,9.188,62,7.2
33,ADS,ADS4,7,7.48,5.288,63,4.46
33,IDS,IDS4,8,15.9,16.068,64,14.44
33,IDS,IDS5,9,2.25,2.465,65,2.81
33,ADS,ADS5,10,5.25,5.429,66,4.32
33,IDS,IDS6,11,2.76,2.886,67,2.35
33,ADS,ADS6,12,5.23,5.258,68,5.24
33,ADS,ADS7,13,14.41,15.912,69,13.49
33,IDS,IDS7,14,15.35,16.458,70,15.43
33,IDS,IDS8,15,5.63,5.647,71,4.97
33,ADS,ADS8,16,8.29,8.767,72,5.63
