lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
earlysocog-fm,s17,ADS,ADS5,1,11.58,16.47,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS5,2,11.9,16.52,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS7,3,15.01,16.66,noerror,NA,NA
earlysocog-fm,s17,ADS,ADS7,4,9.47,16.31,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS1,5,14.63,16.46,noerror,NA,NA
earlysocog-fm,s17,ADS,ADS1,6,4.61,7.84,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS3,7,8.54,16.45,noerror,NA,NA
earlysocog-fm,s17,ADS,ADS3,8,2.6,5.77,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS2,9,3.9,6.79,noerror,NA,NA
earlysocog-fm,s17,ADS,ADS2,10,4,8.61,noerror,NA,NA
earlysocog-fm,s17,ADS,ADS4,11,4.18,8.2,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS4,12,3.84,9.85,noerror,NA,NA
earlysocog-fm,s17,ADS,ADS6,13,7.29,13.13,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS6,14,1.56,4.71,noerror,NA,NA
earlysocog-fm,s17,ADS,ADS8,15,4.78,7.68,noerror,NA,NA
earlysocog-fm,s17,IDS,IDS8,16,2.3,6,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS1,1,9.16,14.12,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS1,2,2.31,5.58,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS2,3,4.93,8.56,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS2,4,2.18,7.24,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS3,5,3.69,7.23,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS3,6,8.79,16.4,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS4,7,4.06,9.98,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS4,8,5.96,9.86,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS5,9,2.91,8.7,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS5,10,2.37,5.18,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS6,11,0.1,4.98,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS6,12,1.47,4.99,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS7,13,1.49,10.34,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS7,14,3.19,6.61,noerror,NA,NA
earlysocog-fm,s18,ADS,ADS8,15,1.75,5.28,noerror,NA,NA
earlysocog-fm,s18,IDS,IDS8,16,2.06,5.43,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS1,1,12.4,16.78,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS1,2,17.67,18.09,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS2,3,6.66,8.62,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS2,4,16.01,16.26,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS3,5,14.42,16.5,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS3,6,12.95,16.03,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS4,7,3.45,8.72,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS4,8,2.04,4.86,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS5,9,5.51,7.42,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS5,10,6.16,8.16,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS6,11,1.99,6.64,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS6,12,5.85,8.72,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS7,13,6.51,6.83,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS7,14,4.09,4.77,noerror,NA,NA
earlysocog-fm,s19,IDS,IDS8,15,8.4,9.54,noerror,NA,NA
earlysocog-fm,s19,ADS,ADS8,16,3.32,4.67,noerror,NA,NA
earlysocog-fm,s20,IDS,IDS5,1,4.42,15.5,noerror,NA,"baby would lean in, cut off eyes"
earlysocog-fm,s20,ADS,ADS5,2,1.92,8.45,noerror,NA,NA
earlysocog-fm,s20,ADS,ADS7,3,11.85,16.57,noerror,NA,NA
earlysocog-fm,s20,IDS,IDS7,4,2.17,6.73,noerror,NA,NA
earlysocog-fm,s20,ADS,ADS1,5,3.07,8.41,noerror,NA,"baby would lean in, cut off eyes"
earlysocog-fm,s20,IDS,IDS1,6,0.62,7.95,noerror,NA,NA
earlysocog-fm,s20,ADS,ADS3,7,3.71,6.21,noerror,NA,NA
earlysocog-fm,s20,IDS,IDS3,8,9.32,16.3,noerror,NA,"baby would lean in, cut off eyes"
