subid,ADS5,IDS5,IDS7,ADS7,IDS1,ADS1,IDS3,ADS3,IDS2,ADS2,ADS4,IDS4,ADS6,IDS6,ADS8,IDS8
s22,12.79,13.31,13.6,11.79,4.31,3.44,11.75,10.82,7.33,3,9.53,10.47,6.06,12.7,9.37,11.9
s24,4.14,13.68,4.49,4.49,14.8,14.38,13.65,11.19,13.36,13.93,14.05,14.77,9.26,7.38,11.07,14.6
s28,3.82,4.04,11.41,1.84,13.68,12.13,11.58,5.8,7.18,2.2,6.89,6.99,5.24,0,4.95,5.9
s30,6.11,7.73,3.03,5.52,2.34,8.92,5.25,6.51,3.46,2.19,2.29,1.61,1.3,2.26,5.75,1.79
s31,11.65,14.36,12.8,10.79,1.97,11.63,14.88,9.31,10.88,6.07,5.26,4.61,7.1,2.24,3.77,1.65
s32,3.17,2.02,11.38,10.05,10.98,2.89,2.38,2.09,4.67,5.61,1.72,1.58,1.43,1.19,13.03,4.76
s42,3.11,3.09,5.5,0.69,14.78,12.65,12.7,6.25,12.77,8.12,1.13,11.4,1.55,9.28,0.69,0.8
s43,6.07,5.42,2.94,10.64,0.66,2,2.2,3.29,0.77,3.4,3.89,1.99,1.15,0,3.13,1.2
s46,7.54,5.28,0.84,1.66,0.66,0.49,11.96,2.49,8.3,1.36,1.29,1.99,6.74,1.01,0.82,0
s48,12.15,14.93,14.95,14.79,14.86,13.95,13.43,13.47,11.62,11.79,11.74,1.7,14.83,12.75,13.86,6.79
s17,11.32,12.03,14.72,10.67,11.56,2.55,13.3,1.96,3.47,3.67,3.54,3.71,8.01,0.96,4.36,2.47
s18,4.83,1.69,4.13,2.21,10.46,1.46,13.66,3.51,4.73,3.33,6.41,6.52,1.59,1.49,2.05,1.43
s19,3.56,3.87,1.24,3.5,13.35,11.94,14.89,13.81,14.75,2.34,5.16,1.47,3.84,2.18,0.93,2.99
s20,4.1,9,1.81,11.16,4.01,4.23,8.26,2.33,2.24,3.19,3.27,13.07,3.36,3.14,7.82,4.17
s34,2.69,2.53,7.42,1.07,8.62,12.39,7.37,1.71,4.62,9.45,2.05,4.21,1.25,3.04,3.88,4.48
s37,6.95,3.12,3.93,13.72,7.44,11.76,8.33,5.11,6.26,3.98,2.66,3.3,7.17,3.74,4.7,3.27
s41,4.95,4.15,1.5,14.91,10.98,12.12,5.63,4.23,6.81,4.79,11.31,2.77,1.39,14.3,1.04,4.55
s45,6.37,3.5,3.46,3.62,3.17,4.23,2.84,1.16,2.55,2.86,3.44,2.65,1.55,1.23,3.62,3.93
s47,2.37,3.21,4.32,6.9,2.36,1.11,9.11,3.28,4.08,3.86,5.14,4.21,2.88,3.81,3.38,1.83
s49,2.83,4.18,1.24,7.13,11.28,4.4,4,3.85,5.96,2.09,5.19,3.37,1.22,9.26,0.39,3.02
s51,14.9,1.34,10.44,9.04,6.02,5.39,4.06,5.79,4.88,4.36,5.54,8.6,9.24,11.4,2.76,5.55
s02,9.31,0.9,0,4.6,13.94,6.34,4.18,0.79,8.13,2.19,0,4.15,2,0,0,0.38
s06,4.58,5.08,0,0,1.38,3.39,13.38,0,0,13.5,6.14,0,4.86,0,0,0
s07,12.98,13.03,13.43,12.16,9.56,5.96,11.75,6.01,7.8,7.03,0.65,8.31,7.7,4.94,1.21,1.44
s12,1.63,1.59,12.85,4.5,14.02,3.85,4.52,0,11.36,0,1.71,14.78,13.99,14.55,9.34,13.29
s33,3.68,13.47,3.65,3.73,9.37,2.81,7.32,2.48,0.41,3.83,3.33,1.79,4.43,1.4,3.55,1.03
