lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
musdev-utm,MB_06,IDS,IDS5,1,13.212,17.971,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS5,1,9.39,13.524,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS7,2,14.742,17.722,noerror,NA,NA
musdev-utm,MB_06,IDS,IDS7,2,13.447,15.413,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS1,3,11.294,13.775,noerror,NA,NA
musdev-utm,MB_06,IDS,IDS1,3,12.746,15.96,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS3,4,6.099,7.16,noerror,NA,NA
musdev-utm,MB_06,IDS,IDS3,4,13.541,16.816,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS2,5,5.882,7.208,noerror,NA,NA
musdev-utm,MB_06,IDS,IDS2,5,5.757,6.599,noerror,NA,NA
musdev-utm,MB_06,IDS,IDS4,6,5.773,7.224,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS4,6,5.149,5.57,noerror,NA,NA
musdev-utm,MB_06,IDS,IDS6,7,8.642,11.825,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS6,7,3.401,3.401,noerror,NA,NA
musdev-utm,MB_06,IDS,IDS8,8,3.494,3.494,noerror,NA,NA
musdev-utm,MB_06,ADS,ADS8,8,14.024,17.955,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS5,1,15.585,17.988,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS5,1,7.146,9.907,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS7,2,9.484,12.651,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS7,2,4.166,4.837,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS1,3,9.47,11.186,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS1,3,12.87,15.007,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS3,4,4.056,4.461,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS3,4,6.146,7.94,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS2,5,2.762,2.762,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS2,5,7.613,8.081,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS4,6,4.493,6.272,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS4,6,4.337,4.337,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS6,7,6.287,6.833,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS6,7,2.215,2.215,noerror,NA,NA
musdev-utm,MB_09,ADS,ADS8,8,3.619,4.181,noerror,NA,NA
musdev-utm,MB_09,IDS,IDS8,8,4.275,6.038,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS5,1,11.372,15.367,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS5,1,15.271,17.642,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS7,2,7.254,8.814,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS7,2,16.146,17.987,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS1,3,7.847,8.939,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS1,3,5.616,5.616,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS3,4,3.791,4.789,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS3,4,7.488,9.079,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS2,5,5.21,6.131,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS2,5,8.517,9.469,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS4,6,4.664,6.037,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS4,6,4.197,4.197,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS6,7,5.803,5.803,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS6,7,4.212,4.212,noerror,NA,NA
musdev-utm,MB_10,IDS,IDS8,8,3.791,3.791,noerror,NA,NA
musdev-utm,MB_10,ADS,ADS8,8,8.174,8.174,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS1,1,6.099,6.91,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS1,1,2.653,3.761,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS2,2,12.246,14.695,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS2,2,2.512,2.512,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS3,3,4.29,5.024,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS3,3,5.054,6.817,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS4,4,3.417,4.26,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS4,4,5.274,8.815,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS5,5,3.541,4.087,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS5,5,4.446,5.179,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS6,6,4.103,4.446,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS6,6,11.013,14.289,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS7,7,4.228,4.228,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS7,7,5.07,6.162,noerror,NA,NA
musdev-utm,MB_11,ADS,ADS8,8,3.76,3.76,noerror,NA,NA
musdev-utm,MB_11,IDS,IDS8,8,6.505,6.505,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS1,1,10.281,10.967,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS1,1,16.521,8,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS2,2,5.85,7.582,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS2,2,14.322,18,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS3,3,17.051,18,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS3,3,14.616,18,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS4,4,16.926,17.55,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS4,4,3.214,3.214,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS5,5,5.725,5.725,noerror,NA,NA
